clip_no,section,source_file,in_tc,out_tc,label,note
1,OP,35_1,00;08;31;01,00;09;52;25,場所の導入,「初めて来た」「散歩しながら」「春っぽい」
2,OP,35_1,00;19;49;43,00;20;47;42,飛行機と鳥,★時系列移動（中盤→OP）飛行機実音残す→「持ち歌」
NA-OP,,,,,,
NA-1,,,,,,
3,CH1,35_1,00;10;36;37,00;11;04;25,オランダでの初対面,「ライデン」「リズムの国際WS」
4,CH1,35_1,00;11;08;41,00;11;41;21,ドラムスティック,「常に入ってます」「素敵」
5,CH1,35_1,00;14;33;35,00;14;57;58,鼻歌→歌の研究,「鼻歌の研究を？」「いやしてない」「オペラ歌手の学生が」
6,CH1,35_1,00;14;58;02,00;16;19;21,いい声の定量化,SPR指標→「4kHz成分比率」→相馬の咀嚼
7,CH1,35_1,00;16;19;26,00;16;56;16,模擬コンクール,研究室でコンクール開催→「何が効いてるのか」
8,CH1,35_1,00;16;56;16,00;17;14;14,うちら似たことやってる,「鳥のさえずり音響解析と似てる」
NA-2,,,,,,
9,CH1,35_1,00;17;14;18,00;17;59;35,鷺を発見,大鷺→「犬がビビる」→くちばし黄色と黒
10,CH1,35_1,00;18;28;50,00;19;28;19,相馬の告白_鳥好きじゃない,「鳥好きじゃなくてもいい」「カンペがあってよかった」
11,CH1,35_1,00;21;01;46,00;21;31;48,飼育＋防音箱,「飼育でやってる」「防音してドラム叩く」
12,CH1,35_1,00;21;47;23,00;22;09;54,無音のストレス,「人間にしても無音はストレス」
NA-3,,,,,,さえずり定義をNAで巻き取り
13,CH2,35_1,00;27;53;53,00;28;57;01,カラスの個体ID,コンタクトコール→「10羽いても特定の相手だけ」
14,CH2,35_1,00;29;00;30,00;29;56;06,フォルマント＝体の共鳴,体の特徴→遺伝子＋環境→個体の音色
15,CH2,35_2,00;03;48;27,00;04;51;11,カラスを呼ぶ女,★時系列移動（後半→CH2）「ハシボソガラス」→「家ではやってます」
NA-4,,,,,,
16,CH2,35_1,00;24;41;34,00;25;38;11,モズの鳴き真似,他の種モノマネ→「ものまね芸人も出る鳥」
17,CH2,35_1,00;25;44;45,00;26;52;42,完コピの方がかっこいい,「鳥はオリジナルできない」→クリエイティビティ証明問題
NA-5,,,,,,
18,CH2,35_1,00;30;42;55,00;31;47;11,メールでの質問_コウノトリ,★ここから#21までNAなし一気に→「論文になっちゃいました」
19,CH2,35_1,00;31;47;16,00;32;57;53,菜箸vsトング,開口部の角度→テンポの違い
20,CH2,35_1,00;33;38;14,00;34;35;42,世界最速ドラマーと一緒,「一緒ですよ！」「やった！」→1分間1200回
21,CH2,35_1,00;34;35;46,00;35;19;54,神経制御と物性,「物の特性を活かす最適な神経信号」
22,CH2,35_1,00;35;19;59,00;36;16;14,お気に入りのスティック,「完全なる体の一部」→同じ型番でも全部違う
23,CH2,35_1,00;36;16;18,00;37;24;18,あなたです,握り方で音変わる→「あなたです」→「究極の問い」
NA-6,,,,,,
24,CH3,35_1,00;37;40;10,00;38;43;58,ニューラルネットで揺らぎ再現,パラメータで機械的〜揺らぎ→「個性を感じたり」
25,CH3,35_1,00;38;44;03,00;40;25;27,身体が紡ぐパターン,マイクロタイミング→フラクタル→「この人にしか聞こえない」
26,CH3,35_1,00;40;25;32,00;41;25;57,すごくないですか＋プラトン導入,★ここから#30まで一連で流す→「要不要論的にいらなさそうなのに」→プラトンへ
27,CH3,35_1,00;41;25;57,00;42;33;55,プラトンのリュトモス,ハルモニア＝音の秩序/リュトモス＝身体の秩序→「歌と舞」
28,CH3,35_1,00;42;34;00,00;42;57;26,プラトンと同じこと言ってる,「プラトンと同じ」→「言ってないですよ先生！」
29,CH3,35_1,00;42;49;18,00;43;17;03,鳥と人間の学習,★#28とTC重複あり→通しで聴いて自然な切れ目で
30,CH3,35_1,00;43;04;07,00;44;14;52,揺らぎゼロでモテる,「鳥は揺らぎゼロの方がモテる」→「定型性＋芸術性」→「研ぎ澄まされる」
NA-7,,,,,,
31,CH3,35_1,00;44;22;21,00;45;48;03,ジストニアとは,山口のケース→「右足だけ」→「動作特異性局所性」
32,CH3,35_1,00;45;48;08,00;47;03;30,完璧を求める脳の過剰適応,ミスれない→クラシック＞ジャズ→「鳥はパーフェクトがモテる」
NA-8,,,,,,
33,CH3,35_1,00;48;25;49,00;49;34;13,若いオスのシャイ＋マザコン,「お母さんに求愛」→「自信満々」→「鳥がマザコン」
NA-9,,,,,,
34,ED,35_2,00;06;11;04,00;06;50;00,鳥って感動するんですか,「報酬系は活性化」→「魂が震えるレベルかは不明」
35,ED,35_2,00;06;50;05,00;09;22;04,ヘドニックを超える,「人生の支え」→「音楽の裏に社会性」→「全てと繋がっている今ここ」→「大きな繋がり感じにくい」
36,ED,35_2,00;00;13;39,00;01;02;20,バイク800cc,★時系列巻き戻し→「メカニックに体力的に無理と宣告」
37,ED,35_2,00;01;46;16,00;02;03;58,エイジングは味になる,「ドラムはエイジングも味」→「ロックだと影響大きい」
38,ED,35_1,00;56;48;42,00;57;38;36,ジャズドラマーの耳,★35-1から移動→「周り全体を聴く」「自分の中に他者を持つ」
39,ED,35_2,00;09;56;53,00;11;26;21,低周波リズム＝宇宙,「全てをリズムで理解」→季節→世代→「調和するのが音楽」
43,ED,35_2,00;15;17;25,00;15;55;49,歌詞に持っていかれる,★A案：おりんの前に配置→「歌詞があると持っていかれる」→「正座して聴くか全く聴かないか」
40,ED,35_2,00;15;55;53,00;16;47;55,おりんの研究,高岡市島谷昇竜工房→手打ち→「めっちゃいい音」
41,ED,35_2,00;16;48;00,00;17;36;12,カンオツモン＋師匠,カン＝アタック/オツ＝速いうなり/モン＝超遅いうなり→「5年間聴くだけ」
INSERT,,,,,,★おりん実音インサート（5〜10秒）→藤井さんに音源依頼
42,ED,35_2,00;19;05;20,00;19;28;30,宇宙と繋がる装置,「おりんは宇宙と繋がる装置」→「低周波調和が仕組まれている」
NA-10,,,,,,
44,ED,35_2,00;22;17;40,00;23;57;08,言語起源説が嫌い,★ここから#47までNAなし一気に→「歌に似てると面白くないと言われた」
45,ED,35_2,00;23;57;12,00;25;03;49,役に立たないことが重要,「何の役に立つんですか」→「胸を張れるか」
46,ED,35_2,00;25;11;33,00;25;53;51,知らねえ_ただ知りたい,「知らねえ」→「一周回ると役立つ。でも主になると見失う」
47,ED,35_2,00;27;33;33,00;27;58;24,音楽とは人間であること,「人間です」→「今そこにあるっていうそれだけ尊い」
NA-ED,,,,,,
48,ED,35_2,00;28;50;27,00;29;27;54,耳を澄ませる,無言→「鳥あんまりいない」→「トラックばっかり」→★環境音10〜15秒残す
